epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0325,1.24745,2.00523,1.19752,0.87825,0.85096,0.85729,0.73183,0.66845,1.63955,0.90817,0.000549352,0.000549352,0.000549352
2,33.4522,1.41402,1.70194,1.30273,0.8631,0.84867,0.84472,0.71957,0.74517,1.49791,0.96211,0.00109408,0.00109408,0.00109408
3,49.3902,1.47341,1.67741,1.36699,0.74212,0.79808,0.75008,0.55816,0.94174,1.22325,1.04276,0.0016278,0.0016278,0.0016278
4,65.3359,1.47853,1.64057,1.38982,0.82556,0.91015,0.89757,0.77675,0.64807,1.04873,0.88461,0.00161749,0.00161749,0.00161749
5,80.5194,1.45827,1.558,1.37841,0.90024,0.86058,0.90294,0.77619,0.64996,0.76379,0.90171,0.00160099,0.00160099,0.00160099
6,95.9693,1.42025,1.46806,1.34249,0.89102,0.86481,0.92978,0.81206,0.55786,0.67952,0.86169,0.00158448,0.00158448,0.00158448
7,111.237,1.3838,1.40457,1.33823,0.8932,0.86058,0.90767,0.79785,0.56571,0.67407,0.87783,0.00156798,0.00156798,0.00156798
8,126.858,1.37503,1.38906,1.30982,0.88672,0.875,0.92484,0.83147,0.52303,0.60341,0.86053,0.00155148,0.00155148,0.00155148
9,141.793,1.36126,1.36604,1.31275,0.88855,0.85577,0.91119,0.8069,0.52031,0.63448,0.85947,0.00153497,0.00153497,0.00153497
10,156.888,1.34388,1.33518,1.29074,0.89452,0.86058,0.88372,0.80077,0.48922,0.7141,0.85022,0.00151847,0.00151847,0.00151847
11,171.833,1.33517,1.34899,1.2937,0.8931,0.85577,0.92976,0.83624,0.5105,0.57716,0.8537,0.00150197,0.00150197,0.00150197
12,187.217,1.31738,1.27797,1.28749,0.9192,0.711,0.81069,0.71965,0.57721,0.97355,0.91704,0.00148546,0.00148546,0.00148546
13,201.948,1.30723,1.25579,1.27383,0.89408,0.86058,0.93336,0.84521,0.46933,0.5234,0.8364,0.00146896,0.00146896,0.00146896
14,216.668,1.2812,1.22122,1.25939,0.88187,0.87981,0.93232,0.85002,0.48685,0.51372,0.84321,0.00145246,0.00145246,0.00145246
15,231.474,1.26829,1.21049,1.2508,0.89184,0.85577,0.92358,0.84588,0.48174,0.60094,0.8449,0.00143595,0.00143595,0.00143595
16,246.133,1.26635,1.20916,1.26332,0.89542,0.86447,0.94178,0.84757,0.50396,0.51991,0.84427,0.00141945,0.00141945,0.00141945
17,260.773,1.2628,1.21394,1.24593,0.89447,0.86058,0.91832,0.84503,0.43707,0.52471,0.82672,0.00140295,0.00140295,0.00140295
18,275.453,1.25111,1.17149,1.23432,0.89479,0.86058,0.93028,0.85343,0.46318,0.5209,0.84121,0.00138644,0.00138644,0.00138644
19,290.217,1.23434,1.16963,1.22736,0.8947,0.86058,0.89849,0.82001,0.46043,0.62795,0.85028,0.00136994,0.00136994,0.00136994
20,304.989,1.26284,1.15511,1.2312,0.8954,0.86428,0.93451,0.8501,0.46928,0.50587,0.83555,0.00135344,0.00135344,0.00135344
21,319.895,1.21013,1.1348,1.22455,0.89466,0.86058,0.93483,0.85537,0.44219,0.52326,0.8297,0.00133693,0.00133693,0.00133693
22,334.636,1.20797,1.13434,1.22856,0.89936,0.85928,0.9343,0.86223,0.43675,0.48829,0.8342,0.00132043,0.00132043,0.00132043
23,349.349,1.17795,1.09074,1.20299,0.89476,0.86058,0.94215,0.87388,0.40772,0.4626,0.81748,0.00130393,0.00130393,0.00130393
24,364.072,1.17851,1.09872,1.20272,0.89474,0.86058,0.93862,0.88137,0.395,0.46388,0.81953,0.00128742,0.00128742,0.00128742
25,379.23,1.18235,1.06475,1.19017,0.89253,0.86058,0.93849,0.87009,0.44524,0.48938,0.82779,0.00127092,0.00127092,0.00127092
26,395.088,1.17347,1.05912,1.18862,0.89666,0.86058,0.94196,0.87028,0.42256,0.45919,0.82477,0.00125442,0.00125442,0.00125442
27,410.933,1.19688,1.08265,1.20239,0.89506,0.86058,0.94187,0.87248,0.42857,0.45825,0.82706,0.00123791,0.00123791,0.00123791
28,426.157,1.15076,1.04813,1.19211,0.89422,0.86058,0.94178,0.87815,0.40011,0.46442,0.81953,0.00122141,0.00122141,0.00122141
29,441.278,1.17387,1.03071,1.18746,0.89409,0.86058,0.90103,0.85094,0.39616,0.58546,0.81875,0.00120491,0.00120491,0.00120491
30,456.688,1.13706,1.02347,1.17102,0.89541,0.86439,0.93955,0.88091,0.40654,0.4453,0.82404,0.0011884,0.0011884,0.0011884
