epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0342,1.27127,2.23447,1.19502,0.92645,0.29132,0.55712,0.44587,1.18751,2.55104,1.227,0.000548258,0.000548258,0.000548258
2,27.4677,1.33629,1.74551,1.26333,0.66597,0.59009,0.56247,0.44356,1.31542,1.75078,1.3147,0.001093,0.001093,0.001093
3,41.9121,1.4412,1.76032,1.35034,0.54959,0.37502,0.42001,0.26812,1.69604,2.60445,1.631,0.00162673,0.00162673,0.00162673
4,55.7163,1.44044,1.6636,1.36878,0.65453,0.59332,0.61064,0.46574,1.34659,2.18346,1.35027,0.00161749,0.00161749,0.00161749
5,68.7788,1.38337,1.55913,1.36018,0.70327,0.57146,0.58429,0.45919,1.39978,1.7726,1.42985,0.00160099,0.00160099,0.00160099
6,81.5804,1.36926,1.45575,1.32366,0.69432,0.59322,0.6178,0.46899,1.3356,1.49548,1.32524,0.00158448,0.00158448,0.00158448
7,94.4863,1.39178,1.44921,1.34264,0.70418,0.61697,0.64651,0.50686,1.26322,1.468,1.29366,0.00156798,0.00156798,0.00156798
8,107.277,1.32632,1.37434,1.29908,0.73702,0.63259,0.67329,0.52731,1.22179,1.24068,1.24049,0.00155148,0.00155148,0.00155148
9,120.282,1.32653,1.3679,1.30414,0.71542,0.62822,0.65889,0.51099,1.24166,1.31841,1.28531,0.00153497,0.00153497,0.00153497
10,133.322,1.26953,1.31436,1.26664,0.71312,0.61009,0.63869,0.50803,1.26398,1.32905,1.28358,0.00151847,0.00151847,0.00151847
11,146.488,1.2481,1.25653,1.25268,0.74695,0.63441,0.67946,0.53556,1.23278,1.22423,1.28342,0.00150197,0.00150197,0.00150197
12,159.282,1.22931,1.24412,1.24227,0.76304,0.63697,0.69713,0.55051,1.21819,1.14245,1.25106,0.00148546,0.00148546,0.00148546
13,171.829,1.26057,1.25194,1.26044,0.70204,0.6499,0.67183,0.52977,1.22284,1.21579,1.27254,0.00146896,0.00146896,0.00146896
14,183.855,1.19692,1.19801,1.23139,0.69264,0.66168,0.68222,0.5434,1.20343,1.19772,1.25857,0.00145246,0.00145246,0.00145246
15,195.867,1.2105,1.18354,1.22297,0.75065,0.64559,0.69188,0.55244,1.17838,1.16095,1.24191,0.00143595,0.00143595,0.00143595
16,207.919,1.18181,1.17783,1.22742,0.74626,0.64393,0.69521,0.56066,1.1605,1.11098,1.21838,0.00141945,0.00141945,0.00141945
17,220.224,1.20475,1.19794,1.2387,0.74381,0.62771,0.67333,0.54453,1.19616,1.32751,1.24922,0.00140295,0.00140295,0.00140295
18,232.221,1.18916,1.18,1.21121,0.74997,0.63622,0.68553,0.54703,1.15957,1.14196,1.19715,0.00138644,0.00138644,0.00138644
19,244.245,1.16469,1.13019,1.20198,0.70455,0.67105,0.69589,0.55833,1.14335,1.15344,1.23008,0.00136994,0.00136994,0.00136994
