epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2227,0.99263,1.55665,1.28687,0.87509,0.73314,0.84044,0.67175,0.7276,1.10543,1.20511,0.000661905,0.000661905,0.000661905
2,48.8894,0.94782,1.11314,1.24394,0.83153,0.70968,0.79938,0.64275,0.82993,1.34487,1.27508,0.00131542,0.00131542,0.00131542
3,72.2651,0.95754,0.9814,1.24739,0.76423,0.76044,0.81678,0.62018,0.89682,1.2643,1.27621,0.00195573,0.00195573,0.00195573
4,95.2701,0.93076,0.89702,1.23118,0.91663,0.8915,0.93475,0.77373,0.75303,0.75835,1.20666,0.0019406,0.0019406,0.0019406
5,118.195,0.89146,0.84715,1.19584,0.95605,0.89305,0.95979,0.8216,0.63561,0.63329,1.06328,0.0019208,0.0019208,0.0019208
6,141.191,0.86568,0.79742,1.18921,0.97093,0.88164,0.96249,0.8291,0.58026,0.5382,1.03859,0.001901,0.001901,0.001901
7,164.278,0.8222,0.75397,1.15878,0.92146,0.86217,0.93578,0.83217,0.54699,0.59437,1.01757,0.0018812,0.0018812,0.0018812
8,187.186,0.80597,0.71665,1.14808,0.96814,0.89112,0.9539,0.86278,0.48652,0.5452,0.98284,0.0018614,0.0018614,0.0018614
9,210.223,0.78378,0.68415,1.13568,0.96221,0.91202,0.97132,0.87476,0.52885,0.47875,1.03155,0.0018416,0.0018416,0.0018416
10,233.223,0.77337,0.69308,1.12939,0.94076,0.93139,0.9662,0.84948,0.55189,0.49177,0.97193,0.0018218,0.0018218,0.0018218
11,256.098,0.75041,0.6449,1.11351,0.95548,0.91202,0.96116,0.84712,0.54768,0.51961,0.99704,0.001802,0.001802,0.001802
12,279.224,0.73897,0.63507,1.10907,0.97503,0.9159,0.96998,0.8735,0.50508,0.44829,0.97184,0.0017822,0.0017822,0.0017822
13,302.248,0.73014,0.62652,1.10276,0.96169,0.90029,0.96176,0.8665,0.50319,0.47716,0.92627,0.0017624,0.0017624,0.0017624
14,325.475,0.69424,0.58478,1.08231,0.95231,0.92962,0.97218,0.86319,0.52814,0.42576,0.93095,0.0017426,0.0017426,0.0017426
15,348.511,0.73664,0.62321,1.11234,0.95457,0.93842,0.97277,0.87427,0.49024,0.4284,0.95724,0.0017228,0.0017228,0.0017228
16,371.46,0.70487,0.59927,1.08895,0.98419,0.91287,0.9771,0.88691,0.4616,0.42412,0.91423,0.001703,0.001703,0.001703
17,394.742,0.69667,0.60454,1.0826,0.97459,0.89966,0.97235,0.90279,0.42729,0.42739,0.9095,0.0016832,0.0016832,0.0016832
18,417.733,0.67061,0.55146,1.06551,0.98501,0.91789,0.97447,0.88092,0.45277,0.40412,0.88135,0.0016634,0.0016634,0.0016634
19,440.741,0.68822,0.57449,1.0813,0.96359,0.93141,0.9722,0.86865,0.45804,0.41597,0.88406,0.0016436,0.0016436,0.0016436
20,463.804,0.65586,0.54152,1.0628,0.95607,0.95729,0.97972,0.9169,0.41053,0.34152,0.88536,0.0016238,0.0016238,0.0016238
21,486.844,0.66173,0.55735,1.06391,0.96567,0.94135,0.97263,0.87737,0.47151,0.40399,0.8909,0.001604,0.001604,0.001604
22,509.916,0.63342,0.54323,1.04729,0.97862,0.95601,0.98309,0.91756,0.39812,0.3466,0.88276,0.0015842,0.0015842,0.0015842
23,532.936,0.65892,0.54024,1.06643,0.97833,0.95894,0.98241,0.93302,0.38157,0.34752,0.88939,0.0015644,0.0015644,0.0015644
24,556.173,0.62103,0.51561,1.04866,0.96162,0.92669,0.97863,0.90998,0.40755,0.39508,0.88062,0.0015446,0.0015446,0.0015446
25,579.351,0.65322,0.53341,1.05668,0.9699,0.92962,0.97966,0.90346,0.44327,0.4108,0.89496,0.0015248,0.0015248,0.0015248
26,602.742,0.61459,0.51233,1.04098,0.96034,0.91202,0.9762,0.90605,0.39959,0.38999,0.87043,0.001505,0.001505,0.001505
27,625.934,0.61651,0.50078,1.04186,0.97342,0.95015,0.98217,0.90337,0.44913,0.34862,0.86747,0.0014852,0.0014852,0.0014852
28,649.013,0.60235,0.48491,1.02962,0.97544,0.96481,0.97861,0.93546,0.37672,0.326,0.88138,0.0014654,0.0014654,0.0014654
