epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1916,0.84536,1.40036,1.0552,0.9955,0.99099,0.995,0.88501,0.45494,0.86754,0.77402,0.00065873,0.00065873,0.00065873
2,21.0131,0.79984,0.95711,1.02066,0.98213,0.99042,0.99446,0.93871,0.32981,0.55316,0.74844,0.00129915,0.00129915,0.00129915
3,30.6907,0.78653,0.84648,0.99537,1,0.99458,0.995,0.9153,0.37973,0.38288,0.75632,0.00191318,0.00191318,0.00191318
4,40.5495,0.78274,0.79256,1.00516,0.99858,1,0.995,0.90447,0.44087,0.51601,0.77486,0.0018812,0.0018812,0.0018812
5,51.9529,0.77259,0.72077,1.00808,0.97711,0.98649,0.99147,0.90317,0.4045,0.38321,0.76549,0.0018416,0.0018416,0.0018416
6,62.3755,0.73929,0.6724,0.9855,0.98982,1,0.995,0.93628,0.33693,0.30985,0.7601,0.001802,0.001802,0.001802
7,71.6163,0.74481,0.63887,0.98433,0.99819,1,0.995,0.93841,0.36467,0.34842,0.75244,0.0017624,0.0017624,0.0017624
8,80.6592,0.69441,0.58612,0.9673,0.99504,1,0.99496,0.95454,0.31335,0.27214,0.75576,0.0017228,0.0017228,0.0017228
9,89.6039,0.6957,0.57584,0.97395,0.99208,1,0.995,0.9473,0.33905,0.26233,0.74959,0.0016832,0.0016832,0.0016832
10,98.4867,0.67074,0.53126,0.95548,0.99945,1,0.995,0.96163,0.32187,0.25269,0.74115,0.0016436,0.0016436,0.0016436
11,107.385,0.70914,0.56034,0.96745,0.99943,1,0.995,0.9372,0.33755,0.25814,0.75121,0.001604,0.001604,0.001604
12,116.142,0.65848,0.51252,0.95302,0.99475,1,0.995,0.96981,0.30962,0.25123,0.74586,0.0015644,0.0015644,0.0015644
13,125,0.67139,0.52069,0.96461,0.99877,1,0.995,0.95931,0.32631,0.23975,0.74425,0.0015248,0.0015248,0.0015248
14,133.841,0.64412,0.50641,0.95661,0.99976,1,0.995,0.93982,0.38972,0.24736,0.75493,0.0014852,0.0014852,0.0014852
15,142.607,0.61623,0.46988,0.9408,0.98649,1,0.99482,0.95555,0.2746,0.23342,0.74147,0.0014456,0.0014456,0.0014456
16,151.412,0.60005,0.46556,0.93211,0.99973,1,0.995,0.94853,0.34007,0.22854,0.74592,0.001406,0.001406,0.001406
17,160.307,0.58896,0.44536,0.93966,0.99804,0.9955,0.995,0.9423,0.35767,0.24413,0.75209,0.0013664,0.0013664,0.0013664
18,169.142,0.59974,0.44264,0.93534,0.9997,1,0.995,0.92821,0.3603,0.22432,0.75465,0.0013268,0.0013268,0.0013268
19,177.901,0.57383,0.43349,0.92233,0.99942,1,0.995,0.96924,0.31943,0.20329,0.73951,0.0012872,0.0012872,0.0012872
20,186.8,0.55745,0.42032,0.92736,0.99957,1,0.995,0.95684,0.30329,0.18562,0.73886,0.0012476,0.0012476,0.0012476
21,195.602,0.55984,0.41303,0.93101,0.99972,1,0.995,0.97996,0.27959,0.18659,0.73822,0.001208,0.001208,0.001208
22,204.456,0.57496,0.41413,0.9274,0.99971,1,0.995,0.96528,0.30326,0.18011,0.7405,0.0011684,0.0011684,0.0011684
23,213.232,0.52498,0.4003,0.91468,0.99975,1,0.995,0.98044,0.23388,0.17656,0.732,0.0011288,0.0011288,0.0011288
24,222.004,0.53766,0.40502,0.90552,0.99974,1,0.995,0.98023,0.26918,0.16766,0.73449,0.0010892,0.0010892,0.0010892
25,230.727,0.53503,0.39307,0.91453,0.99917,1,0.995,0.97375,0.26902,0.18037,0.73653,0.0010496,0.0010496,0.0010496
26,240.865,0.53646,0.3972,0.92076,0.99967,1,0.995,0.94095,0.3638,0.19093,0.74728,0.00101,0.00101,0.00101
27,250.806,0.52988,0.39962,0.91796,0.99937,1,0.995,0.96273,0.27341,0.17483,0.73754,0.0009704,0.0009704,0.0009704
28,262.89,0.4876,0.36712,0.89407,0.99972,1,0.995,0.98693,0.21407,0.16055,0.72694,0.0009308,0.0009308,0.0009308
29,274.112,0.52285,0.38127,0.91978,0.99991,1,0.995,0.97465,0.26088,0.18529,0.73436,0.0008912,0.0008912,0.0008912
30,285.182,0.51569,0.37206,0.90809,0.99961,1,0.995,0.97583,0.26874,0.17878,0.73778,0.0008516,0.0008516,0.0008516
31,296.236,0.48694,0.35226,0.89775,0.99973,1,0.995,0.97377,0.26939,0.18639,0.73578,0.000812,0.000812,0.000812
32,305.777,0.48124,0.34941,0.89409,0.99974,1,0.995,0.96391,0.30222,0.18028,0.74008,0.0007724,0.0007724,0.0007724
33,316.236,0.48895,0.3508,0.89967,0.99976,1,0.995,0.9728,0.27426,0.16866,0.73494,0.0007328,0.0007328,0.0007328
34,326.26,0.49334,0.35937,0.90681,0.99975,1,0.995,0.97509,0.27118,0.16349,0.73455,0.0006932,0.0006932,0.0006932
35,337.005,0.47795,0.34668,0.90123,0.99973,1,0.995,0.97261,0.29895,0.18056,0.73733,0.0006536,0.0006536,0.0006536
36,347.489,0.45062,0.33336,0.88651,0.99974,1,0.995,0.9874,0.22413,0.14726,0.73023,0.000614,0.000614,0.000614
37,356.338,0.46102,0.32657,0.89595,0.99975,1,0.995,0.97675,0.27298,0.1662,0.7342,0.0005744,0.0005744,0.0005744
38,366.618,0.47081,0.33709,0.88995,0.99976,1,0.995,0.98789,0.22498,0.15296,0.72959,0.0005348,0.0005348,0.0005348
39,376.033,0.45294,0.32676,0.88761,0.99974,1,0.995,0.9775,0.28076,0.1634,0.73526,0.0004952,0.0004952,0.0004952
40,385.61,0.41868,0.3087,0.88368,0.99968,1,0.995,0.98414,0.26676,0.15841,0.73549,0.0004556,0.0004556,0.0004556
41,395.894,0.37843,0.26205,0.82454,0.99975,1,0.995,0.98481,0.25175,0.16737,0.73208,0.000416,0.000416,0.000416
42,405.262,0.37654,0.25803,0.8188,1,0.99993,0.995,0.95654,0.30976,0.18664,0.74122,0.0003764,0.0003764,0.0003764
43,414.796,0.37642,0.25243,0.82362,0.99977,1,0.995,0.96674,0.29246,0.17406,0.73478,0.0003368,0.0003368,0.0003368
44,423.716,0.37278,0.25585,0.83099,0.99971,1,0.995,0.98497,0.25865,0.16372,0.73106,0.0002972,0.0002972,0.0002972
45,432.594,0.36319,0.24897,0.82697,0.99975,1,0.995,0.98079,0.26125,0.16158,0.73354,0.0002576,0.0002576,0.0002576
46,441.401,0.35133,0.23436,0.81441,0.99973,1,0.995,0.97856,0.27494,0.15479,0.7345,0.000218,0.000218,0.000218
47,450.144,0.34359,0.23046,0.82038,0.99974,1,0.995,0.98278,0.24951,0.14567,0.73117,0.0001784,0.0001784,0.0001784
48,458.937,0.32479,0.22412,0.81655,0.99975,1,0.995,0.97558,0.27594,0.15442,0.73447,0.0001388,0.0001388,0.0001388
49,467.696,0.32593,0.21984,0.81106,0.99974,1,0.995,0.98537,0.24277,0.14334,0.73069,9.92e-05,9.92e-05,9.92e-05
50,476.637,0.31304,0.21406,0.81089,0.99975,1,0.995,0.98359,0.25175,0.14739,0.73221,5.96e-05,5.96e-05,5.96e-05
